subject,state,device,fs,n_channels,channels,n_samples,duration_sec,recording_id,title_internal,label_mismatch,flags,file
Namay,Concentrated,Emotiv,128.0,2,F7+F8,19281,150.6,Namay_Concentrated_1732962064,Namay-Concentrated-2,False,,Namay-Concentrated-7_EPOCFLEX_250502_2024.11.30T15.51.04+05.30.md.bp.csv
Namay,Concentrated,Emotiv,128.0,2,F7+F8,19281,150.6,Namay_Concentrated_1732962064,Namay-Concentrated-2,False,,Namay-Concentrated-8_EPOCFLEX_250502_2024.11.30T15.51.04+05.30.md.bp.csv
Namay,Concentrated,Emotiv,128.0,2,F7+F8,19281,150.6,Namay_Concentrated_1732962064,Namay-Concentrated-2,False,,Namay-Concentrated-9_EPOCFLEX_250502_2024.11.30T15.51.04+05.30.md.bp.csv
Namay,Neutral,Muse,250.0,2,AF7+AF8,15204,60.8,Namay_Neutral_Namay-Neutral-1,,False,,Namay-Neutral-1.csv
Namay,Neutral,Muse,250.0,2,AF7+AF8,15204,60.8,Namay_Neutral_Namay-Neutral-10,,False,,Namay-Neutral-10.csv
Namay,Neutral,Muse,250.0,2,AF7+AF8,15204,60.8,Namay_Neutral_Namay-Neutral-2,,False,,Namay-Neutral-2.csv
Namay,Neutral,Muse,250.0,2,AF7+AF8,15216,60.9,Namay_Neutral_Namay-Neutral-3,,False,,Namay-Neutral-3.csv
Namay,Neutral,Muse,250.0,2,AF7+AF8,2328,9.3,Namay_Neutral_Namay-Neutral-4,,False,,Namay-Neutral-4.csv
Namay,Neutral,Muse,250.0,2,AF7+AF8,15204,60.8,Namay_Neutral_Namay-Neutral-5,,False,,Namay-Neutral-5.csv
Namay,Neutral,Muse,250.0,2,AF7+AF8,15216,60.9,Namay_Neutral_Namay-Neutral-6,,False,,Namay-Neutral-6.csv
Namay,Neutral,Muse,250.0,2,AF7+AF8,15204,60.8,Namay_Neutral_Namay-Neutral-7,,False,,Namay-Neutral-7.csv
Namay,Neutral,Muse,250.0,2,AF7+AF8,15204,60.8,Namay_Neutral_Namay-Neutral-8,,False,,Namay-Neutral-8.csv
Namay,Neutral,Muse,250.0,2,AF7+AF8,15204,60.8,Namay_Neutral_Namay-Neutral-9,,False,,Namay-Neutral-9.csv
Namay,Relaxed,Emotiv,128.0,2,F7+F8,10385,81.1,Namay_Relaxed_1733040488,Namay-Relaxed-1,False,,Namay-Relaxed-1_EPOCFLEX_250502_2024.12.01T13.38.08+05.30.md.bp.csv
Namay,Relaxed,Emotiv,128.0,2,F7+F8,10385,81.1,Namay_Relaxed_1733040488,Namay-Relaxed-1,False,,Namay-Relaxed-3_EPOCFLEX_250502_2024.12.01T13.38.08+05.30.md.bp.csv
Namay,Relaxed,Emotiv,128.0,2,F7+F8,10385,81.1,Namay_Relaxed_1733040488,Namay-Relaxed-1,False,,Namay-Relaxed-4_EPOCFLEX_250502_2024.12.01T13.38.08+05.30.md.bp.csv
Namay,Relaxed,Emotiv,128.0,2,F7+F8,10385,81.1,Namay_Relaxed_1733040488,Namay-Relaxed-1,False,,Namay-Relaxed-5_EPOCFLEX_250502_2024.12.01T13.38.08+05.30.md.bp.csv
Namay,Relaxed,Emotiv,128.0,2,F7+F8,10385,81.1,Namay_Relaxed_1733040488,Namay-Relaxed-1,False,,Namay-Relaxed-6_EPOCFLEX_250502_2024.12.01T13.38.08+05.30.md.bp.csv
Namay,Relaxed,Emotiv,128.0,2,F7+F8,43313,338.4,Namay_Relaxed_1733043480,Moyukh-Relaxed-2,True,title_mismatch:Moyukh-Relaxed-2,Namay-Relaxed-10_EPOCFLEX_250709_2024.12.01T14.28.00+05.30.md.bp.csv
Namay,Relaxed,Emotiv,128.0,2,F7+F8,43313,338.4,Namay_Relaxed_1733043480,Moyukh-Relaxed-2,True,title_mismatch:Moyukh-Relaxed-2,Namay-Relaxed-2_EPOCFLEX_250709_2024.12.01T14.28.00+05.30.md.bp.csv
Namay,Relaxed,Emotiv,128.0,2,F7+F8,43313,338.4,Namay_Relaxed_1733043480,Moyukh-Relaxed-2,True,title_mismatch:Moyukh-Relaxed-2,Namay-Relaxed-2_EPOCFLEX_250709_2024.12.01T14.28.00+05.30.md.bp.csv
Namay,Relaxed,Emotiv,128.0,2,F7+F8,43313,338.4,Namay_Relaxed_1733043480,Moyukh-Relaxed-2,True,title_mismatch:Moyukh-Relaxed-2,Namay-Relaxed-7_EPOCFLEX_250709_2024.12.01T14.28.00+05.30.md.bp.csv
Namay,Relaxed,Emotiv,128.0,2,F7+F8,43313,338.4,Namay_Relaxed_1733043480,Moyukh-Relaxed-2,True,title_mismatch:Moyukh-Relaxed-2,Namay-Relaxed-8_EPOCFLEX_250709_2024.12.01T14.28.00+05.30.md.bp.csv
Shaurya,Concentrated,Emotiv,128.0,2,F7+F8,8371,65.4,Shaurya_Concentrated_1732965980,Shaurya-Concentrated-1,False,,Shaurya-Concentrated-1_EPOCFLEX_250520_2024.11.30T16.56.20+05.30.md.csv
Shaurya,Concentrated,Emotiv,128.0,2,F7+F8,8371,65.4,Shaurya_Concentrated_1732965980,Shaurya-Concentrated-1,False,,Shaurya-Concentrated-5_EPOCFLEX_250520_2024.11.30T16.56.20+05.30.md.csv
Shaurya,Concentrated,Emotiv,128.0,2,F7+F8,8371,65.4,Shaurya_Concentrated_1732965980,Shaurya-Concentrated-1,False,,Shaurya-Concentrated-6_EPOCFLEX_250520_2024.11.30T16.56.20+05.30.md.csv
Shaurya,Concentrated,Emotiv,128.0,2,F7+F8,8371,65.4,Shaurya_Concentrated_1732965980,Shaurya-Concentrated-1,False,,Shaurya-Concentrated-7_EPOCFLEX_250520_2024.11.30T16.56.20+05.30.md.csv
Shaurya,Concentrated,Emotiv,128.0,2,F7+F8,10327,80.7,Shaurya_Concentrated_1732966118,Shaurya-Concentrated-1,False,,Shaurya-Concentrated-2_EPOCFLEX_250520_2024.11.30T16.58.38+05.30.md.bp.csv
Shaurya,Concentrated,Emotiv,128.0,2,F7+F8,10327,80.7,Shaurya_Concentrated_1732966118,Shaurya-Concentrated-1,False,,Shaurya-Concentrated-8_EPOCFLEX_250520_2024.11.30T16.58.38+05.30.md.bp.csv
Shaurya,Concentrated,Emotiv,128.0,2,F7+F8,10327,80.7,Shaurya_Concentrated_1732966118,Shaurya-Concentrated-1,False,,Shaurya-Concentrated-9_EPOCFLEX_250520_2024.11.30T16.58.38+05.30.md.bp.csv
Shaurya,Concentrated,Emotiv,128.0,2,F7+F8,18973,148.2,Shaurya_Concentrated_1732966585,Shaurya-Concentrated-2,False,,Shaurya-Concentrated-3_EPOCFLEX_250520_2024.11.30T17.06.25+05.30.md.bp.csv
Shaurya,Concentrated,Emotiv,128.0,2,F7+F8,12706,99.3,Shaurya_Concentrated_1732967133,Shaurya-Concentrated-4,False,,Shaurya-Concentrated-10_EPOCFLEX_250520_2024.11.30T17.15.33+05.30.md.bp.csv
Shaurya,Concentrated,Emotiv,128.0,2,F7+F8,12706,99.3,Shaurya_Concentrated_1732967133,Shaurya-Concentrated-4,False,,Shaurya-Concentrated-4_EPOCFLEX_250520_2024.11.30T17.15.33+05.30.md.bp.csv
Shaurya,Neutral,Muse,250.0,2,AF7+AF8,15204,60.8,Shaurya_Neutral_Shaurya-Neutral-1,,False,,Shaurya-Neutral-1.csv
Shaurya,Neutral,Muse,250.0,2,AF7+AF8,15204,60.8,Shaurya_Neutral_Shaurya-Neutral-10,,False,,Shaurya-Neutral-10.csv
